% Model:              outside_in_originalconfiguration_baseline_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 28 2026, 21:42
% Dimension:          2
% Nodes:              149
% Expressions:        13
% Description:        Pressure
% Length unit:        mm
% r                       z                        p (Pa) @ t=0             p (Pa) @ t=20            p (Pa) @ t=40            p (Pa) @ t=60            p (Pa) @ t=80            p (Pa) @ t=100           p (Pa) @ t=120           p (Pa) @ t=140           p (Pa) @ t=160           p (Pa) @ t=180           p (Pa) @ t=200           p (Pa) @ t=220           p (Pa) @ t=240
0.5                       17.806535947712412       0.02766469808884571      0.02766469808884571      0.02766469808884571      0.02766469808884571      0.02766469808884571      0.02766469808884571      0.02766469808884571      0.02766469808884571      0.02766469808884571      0.02766469808884571      0.02766469808884571      0.02766469808884571      0.02766469808884571
0.5                       17.2                     0.030010622248446167     0.030010622248446167     0.030010622248446167     0.030010622248446167     0.030010622248446167     0.030010622248446167     0.030010622248446167     0.030010622248446167     0.030010622248446167     0.030010622248446167     0.030010622248446167     0.030010622248446167     0.030010622248446167
0.5                       17.406535947712413       0.02920839608833692      0.02920839608833692      0.02920839608833692      0.02920839608833692      0.02920839608833692      0.02920839608833692      0.02920839608833692      0.02920839608833692      0.02920839608833692      0.02920839608833692      0.02920839608833692      0.02920839608833692      0.02920839608833692
0.5                       16.8                     0.03154788065289592      0.03154788065289592      0.03154788065289592      0.03154788065289592      0.03154788065289592      0.03154788065289592      0.03154788065289592      0.03154788065289592      0.03154788065289592      0.03154788065289592      0.03154788065289592      0.03154788065289592      0.03154788065289592
0.5                       17.006535947712415       0.03075414485484576      0.03075414485484576      0.03075414485484576      0.03075414485484576      0.03075414485484576      0.03075414485484576      0.03075414485484576      0.03075414485484576      0.03075414485484576      0.03075414485484576      0.03075414485484576      0.03075414485484576      0.03075414485484576
0.5                       16.400000000000006       0.033099137559253776     0.033099137559253776     0.033099137559253776     0.033099137559253776     0.033099137559253776     0.033099137559253776     0.033099137559253776     0.033099137559253776     0.033099137559253776     0.033099137559253776     0.033099137559253776     0.033099137559253776     0.033099137559253776
0.5                       16.606535947712416       0.03229815042624226      0.03229815042624226      0.03229815042624226      0.03229815042624226      0.03229815042624226      0.03229815042624226      0.03229815042624226      0.03229815042624226      0.03229815042624226      0.03229815042624226      0.03229815042624226      0.03229815042624226      0.03229815042624226
0.5                       16.000000000000007       0.03463840816520988      0.03463840816520988      0.03463840816520988      0.03463840816520988      0.03463840816520988      0.03463840816520988      0.03463840816520988      0.03463840816520988      0.03463840816520988      0.03463840816520988      0.03463840816520988      0.03463840816520988      0.03463840816520988
0.5                       16.206535947712418       0.03384363156266479      0.03384363156266479      0.03384363156266479      0.03384363156266479      0.03384363156266479      0.03384363156266479      0.03384363156266479      0.03384363156266479      0.03384363156266479      0.03384363156266479      0.03384363156266479      0.03384363156266479      0.03384363156266479
0.5                       15.599999999999998       0.03618801080684335      0.03618801080684335      0.03618801080684335      0.03618801080684335      0.03618801080684335      0.03618801080684335      0.03618801080684335      0.03618801080684335      0.03618801080684335      0.03618801080684335      0.03618801080684335      0.03618801080684335      0.03618801080684335
