% Model:              inside_out_baseline_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 28 2026, 21:50
% Dimension:          2
% Nodes:              151
% Expressions:        21
% Description:        Pressure
% Length unit:        mm
% R                       Z                        p (Pa) @ t=0             p (Pa) @ t=0.5           p (Pa) @ t=1             p (Pa) @ t=1.5           p (Pa) @ t=2             p (Pa) @ t=2.5           p (Pa) @ t=3             p (Pa) @ t=3.5           p (Pa) @ t=4             p (Pa) @ t=4.5           p (Pa) @ t=5             p (Pa) @ t=5.5           p (Pa) @ t=6             p (Pa) @ t=6.5           p (Pa) @ t=7             p (Pa) @ t=7.5           p (Pa) @ t=8             p (Pa) @ t=8.5           p (Pa) @ t=9             p (Pa) @ t=9.5           p (Pa) @ t=10
0                         12.666666666666666       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713       211.64380344172713
0                         12.533333333333335       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728       215.49636766633728
0                         12.400000000000002       219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241        219.3488279662241
0                         12.266666666666666       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627       223.19571892083627
0                         12.133333333333333       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614       227.04229589924614
0                         12                       230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171         230.894825852171
0                         11.866666666666667       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425       234.74727005005425
0                         11.733333333333336       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327       238.59412124309327
0                         11.6                     242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436         242.440735002436
0                         11.466666666666667       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175       246.29327447491175
0                         11.33333333333333        250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797       250.14573092980797
0                         11.200000000000001       253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958        253.9926150567958
0                         11.06666666666667        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774        257.8391867333774
0                         10.933333333333335       261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101        261.6917093584101
